celltype	input_file	out_dir
baseline_ibd_inflamed_CD4_HSPhi_CD70pos_Treg	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_HSPhi_CD70pos_Treg_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_HSPhi_Treg	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_HSPhi_Treg_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_IKZF2hi_LAG3int_CXCR4hi_Treg	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_IKZF2hi_LAG3int_CXCR4hi_Treg_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_IKZF2hi_LAG3lo_TNFRSF18hi_Treg	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_IKZF2hi_LAG3lo_TNFRSF18hi_Treg_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_IKZF2lo_LAG3hi_IL10pos_Treg	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_IKZF2lo_LAG3hi_IL10pos_Treg_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_naive_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_naive_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_S1PR4hi_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_S1PR4hi_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD4_TNFSF13Bhi_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD4_TNFSF13Bhi_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD74hi_HLADRB1hi_arterial_pericyte	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD74hi_HLADRB1hi_arterial_pericyte_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD74hi_HLADRB1hi_venous_pericyte	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD74hi_HLADRB1hi_venous_pericyte_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD8_CTLA4hi_TIGIThi_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD8_CTLA4hi_TIGIThi_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD8_cycling_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD8_cycling_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD8_EGR1hi_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD8_EGR1hi_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD8_FGFBP2pos_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD8_FGFBP2pos_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD8_GZMKhi_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD8_GZMKhi_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD8_GZMKint_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD8_GZMKint_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD8_IL17A_IL26pos_IL23Rpos_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD8_IL17A_IL26pos_IL23Rpos_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD8_IL7Rhi_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD8_IL7Rhi_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD8_naive	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD8_naive_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_CD8_TNFhi_IFNGhi_IL2pos_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_CD8_TNFhi_IFNGhi_IL2pos_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Cycling_B	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Cycling_B_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Cycling_MNP	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Cycling_MNP_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Cycling_stroma	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Cycling_stroma_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_FCRL4pos_memory_B	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_FCRL4pos_memory_B_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Follicular_B	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Follicular_B_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_gd_SOX4pos_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_gd_SOX4pos_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_gd_T	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_gd_T_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Glial	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Glial_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_IFN_resp_memory_B	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_IFN_resp_memory_B_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_IgApos_IFN_resp_plasma	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_IgApos_IFN_resp_plasma_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_IgApos_plasma	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_IgApos_plasma_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_IgGhi_IgAhi_memory_B	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_IgGhi_IgAhi_memory_B_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_IgGpos_CXCR4hi_plasma	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_IgGpos_CXCR4hi_plasma_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_IgGpos_CXCR4lo_plasma	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_IgGpos_CXCR4lo_plasma_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_IGLChi_memory_B	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_IGLChi_memory_B_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_ILC	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_ILC_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_BEST4_OTOP2	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_BEST4_OTOP2_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_EEC_CHGAhi_CHGBhi	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_EEC_CHGAhi_CHGBhi_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_EEC_CHGAlo_CHGBlo	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_EEC_CHGAlo_CHGBlo_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_enterocyte_DUOX2hi_LCN2pos	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_enterocyte_DUOX2hi_LCN2pos_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_enterocyte_MUC6pos_PGCpos_DUOX2pos	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_enterocyte_MUC6pos_PGCpos_DUOX2pos_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_enterocyte_PLCG2	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_enterocyte_PLCG2_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_enterocyte	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_enterocyte_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_goblet	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_goblet_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_paneth	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_paneth_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_RPShi	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_RPShi_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_stem_LGR5pos	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_stem_LGR5pos_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_TA	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_TA_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Ileal_tuft	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Ileal_tuft_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Intermediate_B	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Intermediate_B_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_LAMP3pos_DC	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_LAMP3pos_DC_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_LAMP3pos_IL1Bpos_DC	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_LAMP3pos_IL1Bpos_DC_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Lymphatic_endothelial	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Lymphatic_endothelial_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_MAIT	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_MAIT_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Mast	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Mast_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Memory_B	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Memory_B_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Myofibroblast	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Myofibroblast_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_NK	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_NK_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Non_ileal_BEST4_OTOP2	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Non_ileal_BEST4_OTOP2_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Non_ileal_CT_colonocyte	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Non_ileal_CT_colonocyte_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Non_ileal_EEC_DDCpos_CHGApos	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Non_ileal_EEC_DDCpos_CHGApos_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Non_ileal_EEC_GCGpos_PYYpos	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Non_ileal_EEC_GCGpos_PYYpos_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Non_ileal_EEC_NEUROG3pos	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Non_ileal_EEC_NEUROG3pos_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Non_ileal_enterocyte_IL32hi_DUOXA2pos	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Non_ileal_enterocyte_IL32hi_DUOXA2pos_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Non_ileal_enterocyte_PLCG2pos	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Non_ileal_enterocyte_PLCG2pos_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Non_ileal_enterocyte_RPShi_DUOXA2pos	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Non_ileal_enterocyte_RPShi_DUOXA2pos_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Non_ileal_goblet	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Non_ileal_goblet_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
baseline_ibd_inflamed_Non_ileal_M_like	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/data/baseline_cd_final_analysis//baseline_ibd_inflamed_Non_ileal_M_like_sce.qs	/well/cartography/projects/analysis/302_external_oxford_datasets/TAURUS/revisions/results/MAST/baseline_CD_remission/final_analysis/
